,Date,1 month,2 months,3 months,6 months,1 year,3 years,5 years
0,2002-01-02,0.18998707830905914,0.18977642059326172,0.19011834263801575,0.19151726365089417,0.19860030710697174,,
1,2002-01-03,0.18938952684402466,0.18786495923995972,0.18764524161815643,0.18859028816223145,0.19462895393371582,,
2,2002-01-04,0.18970465660095215,0.18910719454288483,0.1894935965538025,0.19117164611816406,0.19777138531208038,,
3,2002-01-07,0.18909110128879547,0.18809190392494202,0.18811629712581635,0.18992911279201508,0.19713903963565826,,
4,2002-01-08,0.18940261006355286,0.18861070275306702,0.188757985830307,0.19059033691883087,0.1985550820827484,,
5,2002-01-09,0.18969886004924774,0.18940043449401855,0.18970859050750732,0.19200348854064941,0.20108191668987274,,
6,2002-01-10,0.1899910718202591,0.19010642170906067,0.19079314172267914,0.19424472749233246,0.2044619917869568,,
7,2002-01-11,0.18993321061134338,0.19053426384925842,0.19107994437217712,0.19472332298755646,0.20428547263145447,,
8,2002-01-14,0.19066864252090454,0.1917564570903778,0.19275513291358948,0.19625119864940643,0.20728279650211334,,
9,2002-01-15,0.19047480821609497,0.1918504536151886,0.19296807050704956,0.19714495539665222,0.20888981223106384,,
10,2002-01-16,0.19066204130649567,0.19171959161758423,0.192681685090065,0.19666177034378052,0.2081725001335144,,
11,2002-01-17,0.1900573968887329,0.19034965336322784,0.19082367420196533,0.19427432119846344,0.20437294244766235,,
12,2002-01-18,0.18955589830875397,0.18940146267414093,0.18954576551914215,0.19268205761909485,0.20157882571220398,,
13,2002-01-21,0.1895567923784256,0.18990890681743622,0.18975834548473358,0.19168704748153687,0.20070335268974304,,
14,2002-01-22,0.1895371824502945,0.1895948201417923,0.18976828455924988,0.19212952256202698,0.20078042149543762,,
15,2002-01-23,0.1893221139907837,0.1894092857837677,0.1892283856868744,0.19065235555171967,0.19813990592956543,,
16,2002-01-24,0.1902119666337967,0.1904865950345993,0.1908169388771057,0.19304078817367554,0.20149360597133636,,
17,2002-01-28,0.19025006890296936,0.1906464546918869,0.19118304550647736,0.1937783807516098,0.20190441608428955,,
18,2002-01-29,0.19019928574562073,0.19064933061599731,0.19120004773139954,0.19417023658752441,0.20274466276168823,,
19,2002-01-30,0.19062595069408417,0.19097156822681427,0.19167447090148926,0.19502486288547516,0.2041752189397812,,
20,2002-01-31,0.19063259661197662,0.19126810133457184,0.19163408875465393,0.19470266997814178,0.20387767255306244,,
21,2002-02-01,0.19085818529129028,0.1911395639181137,0.19161023199558258,0.19440768659114838,0.20372717082500458,,
22,2002-02-04,0.19094394147396088,0.1913032829761505,0.19206930696964264,0.19554969668388367,0.20631784200668335,,
23,2002-02-05,0.19055679440498352,0.19065065681934357,0.19101925194263458,0.19343462586402893,0.20383505523204803,,
24,2002-02-06,0.1899782419204712,0.18988937139511108,0.1898353546857834,0.191471666097641,0.20064538717269897,,
25,2002-02-07,0.18990886211395264,0.189947247505188,0.19002220034599304,0.19272443652153015,0.2024575024843216,,
26,2002-02-08,0.18989457190036774,0.18993142247200012,0.19003139436244965,0.19279436767101288,0.20262672007083893,,
27,2002-02-13,0.18885184824466705,0.18838675320148468,0.18819782137870789,0.18939520418643951,0.19726122915744781,,
28,2002-02-14,0.1890074759721756,0.18869879841804504,0.18865589797496796,0.1903141885995865,0.19851461052894592,,
29,2002-02-15,0.18857456743717194,0.1883338838815689,0.18823927640914917,0.1894623339176178,0.19731095433235168,,
30,2002-02-18,0.18865981698036194,0.18829263746738434,0.18813492357730865,0.1889328509569168,0.195448637008667,,
31,2002-02-19,0.18871740996837616,0.18815569579601288,0.18779073655605316,0.18831193447113037,0.19458413124084473,,
32,2002-02-20,0.18837754428386688,0.18784043192863464,0.1871815323829651,0.18737159669399261,0.1937161237001419,,
33,2002-02-21,0.1873059868812561,0.18596215546131134,0.18483935296535492,0.18462879955768585,0.18938611447811127,,
34,2002-02-22,0.18755121529102325,0.1860342025756836,0.1846485137939453,0.18481497466564178,0.18912027776241302,,
35,2002-02-25,0.18696632981300354,0.18547029793262482,0.1842668354511261,0.18358972668647766,0.18682877719402313,,
36,2002-02-26,0.18717503547668457,0.1857166290283203,0.1845225840806961,0.18364082276821136,0.18733222782611847,,
37,2002-02-27,0.1868303418159485,0.18489615619182587,0.18339960277080536,0.18199098110198975,0.18480835855007172,,
38,2002-02-28,0.18730054795742035,0.18524782359600067,0.18365207314491272,0.18289241194725037,0.18740004301071167,,
39,2002-03-01,0.1870356947183609,0.18539990484714508,0.18389976024627686,0.18283268809318542,0.18715418875217438,,
40,2002-03-04,0.18687084317207336,0.18540868163108826,0.18410874903202057,0.1833195984363556,0.18767939507961273,,
41,2002-03-05,0.18628044426441193,0.18462017178535461,0.18331749737262726,0.18175022304058075,0.1847982108592987,,
42,2002-03-06,0.1861719787120819,0.18467509746551514,0.1836375594139099,0.18287336826324463,0.18659056723117828,,
43,2002-03-07,0.18581600487232208,0.184585839509964,0.1838105469942093,0.18295958638191223,0.18848267197608948,,
44,2002-03-08,0.18530213832855225,0.18383799493312836,0.182794451713562,0.18172602355480194,0.18617096543312073,,
45,2002-03-11,0.18477725982666016,0.1833343654870987,0.18227805197238922,0.18097636103630066,0.18496783077716827,,
46,2002-03-12,0.18378622829914093,0.18242210149765015,0.18136166036128998,0.17976734042167664,0.18145810067653656,0.20567388832569122,
47,2002-03-13,0.18374381959438324,0.1823010891675949,0.18131892383098602,0.1794695407152176,0.18218894302845,,
48,2002-03-14,0.18385443091392517,0.18270397186279297,0.18178074061870575,0.17999187111854553,0.18285107612609863,,
