,year,month,day,yield_week_pc
0,2001,2,2,0.007226557936519384
1,2001,2,9,0.0072531686164438725
2,2001,2,16,0.0073505574837327
3,2001,2,23,0.00760988611727953
4,2001,3,2,0.007516924291849136
5,2001,3,9,0.007501309737563133
6,2001,3,16,0.008050401695072651
7,2001,3,23,0.0084101352840662
8,2001,3,30,0.008424014784395695
9,2001,4,6,0.0069410367868840694
10,2001,4,12,0.006584545597434044
11,2001,4,20,0.006757973227649927
12,2001,4,27,0.006704298779368401
13,2001,5,4,0.00642832275480032
14,2001,5,11,0.006418770179152489
15,2001,5,18,0.006432186346501112
16,2001,5,25,0.006309713702648878
17,2001,6,1,0.006398590747267008
18,2001,6,8,0.006280949804931879
19,2001,6,15,0.00640137679874897
20,2001,6,22,0.006614855490624905
21,2001,6,29,0.0066681355237960815
22,2001,7,6,0.0070397499948740005
23,2001,7,13,0.007195974700152874
24,2001,7,20,0.007187551818788052
25,2001,7,27,0.0071409279480576515
26,2001,8,3,0.006025210022926331
27,2001,8,10,0.005167560186237097
28,2001,8,17,0.005262198392301798
29,2001,8,24,0.00543926702812314
30,2001,8,31,0.005429709330201149
31,2001,9,6,0.008090457879006863
32,2001,9,14,0.009154495783150196
33,2001,9,21,0.009282133542001247
34,2001,9,28,0.009600402787327766
35,2001,10,5,0.01061768177896738
36,2001,10,11,0.01041235402226448
37,2001,10,19,0.009739202447235584
38,2001,10,26,0.00948135182261467
39,2001,11,1,0.00954543985426426
40,2001,11,9,0.008315514773130417
41,2001,11,16,0.008237030357122421
42,2001,11,23,0.00807190127670765
43,2001,11,30,0.008042925037443638
44,2001,12,7,0.012341187335550785
45,2001,12,14,0.012434137985110283
46,2001,12,21,0.012493658810853958
47,2001,12,28,0.012195889838039875
48,2002,1,4,0.011724991723895073
49,2002,1,11,0.011805982328951359
50,2002,1,18,0.012380145490169525
51,2002,1,24,0.012348804622888565
52,2002,2,1,0.012466349638998508
53,2002,2,8,0.011623434722423553
54,2002,2,15,0.011262604966759682
55,2002,2,22,0.011070392094552517
56,2002,3,1,0.011065597645938396
57,2002,3,8,0.013578560203313828
58,2002,3,15,0.013405642472207546
59,2002,3,22,0.01341838389635086
60,2002,3,28,0.013846111483871937
61,2002,4,5,0.01611967198550701
62,2002,4,12,0.015934208407998085
63,2002,4,19,0.01566978730261326
64,2002,4,26,0.01587899774312973
65,2002,5,3,0.016719695180654526
66,2002,5,10,0.01764838770031929
67,2002,5,17,0.017537469044327736
68,2002,5,24,0.017326408997178078
69,2002,5,31,0.01712815649807453
70,2002,6,7,0.017393074929714203
71,2002,6,14,0.017797764390707016
72,2002,6,21,0.019006958231329918
73,2002,6,28,0.019290614873170853
74,2002,7,5,0.01998687908053398
75,2002,7,12,0.019850822165608406
76,2002,7,19,0.019702041521668434
77,2002,7,26,0.021361522376537323
78,2002,8,2,0.02244434505701065
79,2002,8,9,0.022714469581842422
80,2002,8,16,0.023471273481845856
81,2002,8,23,0.023288244381546974
82,2002,8,30,0.021864943206310272
83,2002,9,6,0.019916556775569916
84,2002,9,13,0.019756196066737175
85,2002,9,20,0.020471280440688133
86,2002,9,27,0.021112464368343353
87,2002,10,4,0.020917361602187157
88,2002,10,11,0.020959412679076195
89,2002,10,18,0.02129589579999447
90,2002,10,25,0.019306696951389313
91,2002,11,1,0.018540970981121063
92,2002,11,8,0.018785253167152405
93,2002,11,14,0.01883653551340103
94,2002,11,22,0.018558869138360023
95,2002,11,29,0.01848590187728405
96,2002,12,6,0.019514968618750572
97,2002,12,13,0.019565843045711517
98,2002,12,20,0.019000688567757607
99,2002,12,27,0.018846429884433746
100,2003,1,3,0.01902930811047554
101,2003,1,10,0.019012462347745895
102,2003,1,17,0.0190274678170681
103,2003,1,24,0.019865013659000397
104,2003,1,31,0.020460985600948334
105,2003,2,7,0.01931019499897957
106,2003,2,14,0.019546333700418472
107,2003,2,21,0.01956268399953842
108,2003,2,28,0.019832178950309753
109,2003,3,7,0.015905417501926422
110,2003,3,14,0.016000140458345413
111,2003,3,21,0.015336411073803902
112,2003,3,28,0.015293615870177746
113,2003,4,4,0.019398892298340797
114,2003,4,11,0.02061433158814907
115,2003,4,17,0.020466217771172523
116,2003,4,25,0.020327109843492508
117,2003,5,2,0.021815605461597443
118,2003,5,9,0.02714606001973152
119,2003,5,16,0.02672993391752243
120,2003,5,23,0.02734096720814705
121,2003,5,30,0.026966189965605736
122,2003,6,6,0.02683519385755062
123,2003,6,13,0.026466967537999153
124,2003,6,20,0.02659539133310318
125,2003,6,27,0.0273052379488945
126,2003,7,4,0.027950400486588478
127,2003,7,11,0.027604157105088234
128,2003,7,18,0.027356257662177086
129,2003,7,25,0.026983438059687614
130,2003,8,1,0.02697024866938591
131,2003,8,8,0.027129540219902992
132,2003,8,15,0.02616002783179283
133,2003,8,22,0.025218700990080833
134,2003,8,29,0.024401402100920677
135,2003,9,5,0.02541988529264927
136,2003,9,12,0.025206679478287697
137,2003,9,19,0.02497722953557968
138,2003,9,26,0.025742292404174805
139,2003,10,3,0.02493109554052353
140,2003,10,10,0.023654846474528313
141,2003,10,17,0.023446446284651756
142,2003,10,24,0.023486580699682236
143,2003,10,31,0.02356801927089691
144,2003,11,7,0.03360290825366974
145,2003,11,14,0.033562690019607544
146,2003,11,21,0.033224791288375854
147,2003,11,28,0.03206384927034378
148,2003,12,5,0.03361347317695618
149,2003,12,12,0.03274894878268242
150,2003,12,19,0.032332662492990494
151,2003,12,26,0.030975185334682465
152,2004,1,2,0.031141752377152443
153,2004,1,9,0.030665278434753418
