ano,mes,dia,semana_si_100
2018,3,16,.0124854
2018,3,23,.0125599
2018,3,29,.0119433
2018,4,6,.0122183
2018,4,13,.0121978
2018,4,20,.0122993
2018,4,27,.0126225
2018,5,4,.0123269
2018,5,11,.0123402
2018,5,18,.0127016
2018,5,25,.0120537
2018,6,1,.0117958
2018,6,8,.0122875
2018,6,15,.0123714
2018,6,22,.013351
2018,6,29,.0131123
2018,7,6,.0132213
2018,7,13,.0135781
2018,7,20,.0139178
2018,7,27,.0140175
2018,8,3,.0151445
2018,8,10,.0156464
2018,8,17,.0152673
2018,8,24,.0147801
2018,8,31,.0132853
2018,9,6,.0133774
2018,9,14,.0138571
2018,9,21,.013663
2018,9,28,.0139228
2018,10,5,.0140118
2018,10,11,.0145934
2018,10,19,.0142803
2018,10,26,.0140832
2018,11,1,.014864
2018,11,9,.0146371
2018,11,16,.0141931
2018,11,23,.0140429
2018,11,30,.0139611
2018,12,7,.01376
2018,12,14,.0141644
2018,12,21,.0146148
2018,12,28,.0163036
2019,1,4,.0155302
2019,1,11,.0153384
2019,1,18,.0146339
2019,1,24,.0140698
2019,2,1,.0133459
2019,2,8,.0133058
2019,2,15,.0137095
2019,2,22,.0141567
2019,3,1,.0143343
2019,3,8,.0141841
2019,3,15,.0144535
2019,3,22,.0143366
2019,3,29,.0143073
2019,4,5,.0144122
2019,4,12,.0143753
2019,4,18,.0141324
2019,4,26,.0140566
2019,5,3,.0111548
2019,5,10,.014051
2019,5,17,.0140033
2019,5,24,.0144159
2019,5,31,.014073
2019,6,7,.0133285
2019,6,14,.013003
2019,6,21,.0104577
2019,6,28,.0126162
2019,7,5,.0119971
2019,7,12,.009354
2019,7,19,.0118944
2019,7,26,.0119106
2019,8,2,.01221
2019,8,9,.0125014
2019,8,16,.0125544
2019,8,23,.0124682
2019,8,30,.0123979
2019,9,6,.0124148
2019,9,13,.0127589
2019,9,20,.0130816
2019,9,27,.0132272
2019,10,4,.0132482
2019,10,11,.0130358
2019,10,18,.0133313
2019,10,25,.0128535
2019,11,1,.0126767
2019,11,8,.0130089
2019,11,15,.0103043
2019,11,22,.0100848
2019,11,29,.0124871
2019,12,6,.012593
2019,12,13,.0134721
2019,12,20,.0132742
2019,12,27,.0078632
2019,12,31,.006704
2020,1,3,.0089906
2020,1,10,.0132896
2020,1,17,.0128012
2020,1,24,.0124628
2020,1,31,.0123649
2020,2,7,.0127873
2020,2,14,.011903
2020,2,21,.012055
2020,2,28,.0074828
2020,3,6,.0129054
2020,3,13,.0139743
2020,3,20,.0158126
2020,3,27,.0158631
2020,4,3,.014406
2020,4,10,.0115452
2020,4,17,.0139179
2020,4,24,.0114618
2020,5,1,.0122655
2020,5,8,.0148354
2020,5,15,.0148893
2020,5,22,.0152031
2020,5,29,.0160397
2020,6,5,.0150744
2020,6,12,.01123
2020,6,19,.013327
2020,6,26,.013036
2020,7,3,.0128614
2020,7,10,.0131729
2020,7,17,.0133679
