,year,month,day,week_loan_fee
0,2013,1,4,0.021147871017456056
1,2013,1,11,0.01669978618621826
2,2013,1,18,0.01489495873451233
3,2013,1,24,0.014663811922073364
4,2013,2,1,0.014341301918029785
5,2013,2,8,0.014230505228042603
6,2013,2,15,0.014001436233520508
7,2013,2,22,0.014298288822174073
8,2013,3,1,0.01592326760292053
9,2013,3,8,0.022933216094970704
10,2013,3,15,0.025923495292663575
11,2013,3,21,0.018350257873535156
12,2013,3,28,0.017642695903778077
13,2013,4,5,0.02027674436569214
14,2013,4,11,0.018562256097793578
15,2013,4,19,0.028539648056030275
16,2013,4,26,0.026092605590820314
17,2013,5,3,0.040588884353637694
18,2013,5,9,0.03785015106201172
19,2013,5,15,0.019350593090057374
20,2013,5,23,0.01733281135559082
21,2013,5,31,0.01739175319671631
22,2013,6,7,0.017593175172805786
23,2013,6,14,0.01939565896987915
24,2013,6,21,0.020873363018035888
25,2013,6,25,0.01815846562385559
26,2013,7,1,0.022755591869354247
27,2013,7,12,0.020924472808837892
28,2013,7,19,0.021095621585845947
29,2013,7,26,0.021710760593414306
30,2013,8,2,0.022245495319366454
31,2013,8,9,0.02522400617599487
32,2013,8,16,0.025382483005523683
33,2013,8,23,0.026932756900787353
34,2013,8,30,0.024100825786590577
35,2013,9,6,0.024747631549835204
36,2013,9,13,0.02591209888458252
37,2013,9,20,0.02474597692489624
38,2013,9,27,0.020941362380981446
39,2013,10,4,0.020648949146270752
40,2013,10,9,0.018871872425079345
41,2013,10,18,0.024129290580749512
42,2013,10,25,0.0345169997215271
43,2013,10,31,0.018090739250183105
44,2013,11,8,0.02071202754974365
45,2013,11,14,0.017408778667449953
46,2013,11,22,0.016839598417282105
47,2013,11,29,0.01573227882385254
48,2013,12,6,0.016693713665008544
49,2013,12,13,0.020660340785980225
50,2013,12,20,0.021733317375183105
51,2013,12,23,0.021249825954437255
52,2014,1,3,0.024438495635986327
53,2014,1,10,0.02400557518005371
54,2014,1,17,0.02562497615814209
55,2014,1,24,0.025773489475250246
56,2014,1,31,0.019467099905014038
57,2014,2,7,0.019418349266052248
58,2014,2,14,0.019282814264297485
59,2014,2,21,0.03421515941619873
60,2014,2,28,0.019330477714538573
61,2014,3,7,0.01646045207977295
62,2014,3,14,0.020579812526702882
63,2014,3,21,0.017815552949905396
64,2014,3,28,0.019553020000457763
65,2014,4,4,0.04713176250457764
66,2014,4,11,0.052086801528930665
67,2014,4,25,0.02546349048614502
68,2014,5,2,0.03156318426132202
69,2014,5,9,0.030225756168365477
70,2014,5,16,0.014689120054244996
71,2014,5,23,0.014637120962142945
72,2014,5,30,0.01373309850692749
73,2014,6,6,0.013459842205047607
74,2014,6,13,0.012900745868682862
75,2014,6,27,0.011665166616439819
76,2014,7,4,0.012733893394470215
77,2014,7,11,0.010888924598693847
78,2014,7,15,0.010999572277069092
79,2014,8,1,0.02060324192047119
80,2014,8,8,0.011571722030639648
81,2014,8,15,0.014535468816757203
82,2014,8,22,0.01042473793029785
83,2014,8,29,0.009142595529556274
84,2014,9,5,0.011141169071197509
85,2014,9,12,0.010313398838043213
86,2014,9,19,0.01277231216430664
87,2014,9,26,0.008411166071891785
88,2014,10,3,0.008984881043434144
89,2014,10,10,0.008320934772491455
90,2014,10,17,0.01052635908126831
91,2014,10,23,0.027314772605895998
92,2014,10,31,0.011908760070800781
93,2014,11,7,0.013182853460311889
94,2014,11,14,0.011934422254562378
95,2014,11,21,0.011935540437698365
96,2014,11,28,0.01230258822441101
97,2014,12,5,0.01351586937904358
