year,month,day,ivolbr
2012,7,26,17.30929
2012,7,27,27.56798
2012,7,30,25.01272
2012,7,31,23.83291
2012,8,1,26.11669
2012,8,2,28.9215
2012,8,3,23.04916
2012,8,6,23.33697
2012,8,7,21.58664
2012,8,8,22.78128
2012,8,9,25.99777
2012,8,10,22.35262
2012,8,13,23.82258
2012,8,14,22.38859
2012,8,15,22.6706
2012,8,16,23.87853
2012,8,17,24.92409
2012,8,20,23.10635
2012,8,21,23.45014
2012,8,22,24.09447
2012,8,23,22.24359
2012,8,24,24.38719
2012,8,27,
2012,8,28,22.23465
2012,8,29,25.48968
2012,8,30,27.21431
2012,8,31,24.7626
2012,9,3,25.3604
2012,9,4,25.58649
2012,9,5,22.7045
2012,9,6,25.42561
2012,9,10,22.20385
2012,9,11,23.62826
2012,9,12,25.47909
2012,9,13,25.87671
2012,9,14,23.38551
2012,9,17,21.71917
2012,9,18,22.81986
2012,9,19,22.20451
2012,9,20,21.67313
2012,9,21,20.83679
2012,9,24,22.77583
2012,9,25,23.89389
2012,9,26,20.59727
2012,9,27,22.82012
2012,9,28,25.02937
2012,10,1,24.43668
2012,10,2,24.28433
2012,10,3,24.25042
2012,10,4,21.27869
2012,10,5,20.82378
2012,10,8,23.63432
2012,10,9,24.12969
2012,10,10,23.8065
2012,10,11,24.06198
2012,10,15,22.52014
2012,10,16,24.60091
2012,10,17,20.61162
2012,10,18,22.46888
2012,10,19,23.03237
2012,10,22,23.60265
2012,10,23,23.09167
2012,10,24,24.44142
2012,10,25,24.17373
2012,10,26,22.85317
2012,10,29,23.36192
2012,10,30,22.47785
2012,10,31,23.79545
2012,11,1,22.642
2012,11,5,21.38135
2012,11,6,20.92037
2012,11,7,22.55936
2012,11,8,21.5204
2012,11,9,23.30794
2012,11,12,24.23245
2012,11,13,22.79641
2012,11,14,25.48476
2012,11,16,25.30342
2012,11,19,22.87122
2012,11,21,23.47292
2012,11,22,19.94111
2012,11,23,21.79934
2012,11,26,21.09003
2012,11,27,23.71056
2012,11,28,23.20562
2012,11,29,22.62354
2012,11,30,21.44512
2012,12,3,22.12571
2012,12,4,22.54461
2012,12,5,23.16637
2012,12,6,23.07137
2012,12,7,23.11263
2012,12,10,21.11079
2012,12,11,18.45346
2012,12,12,22.02743
2012,12,13,22.18733
2012,12,14,
2012,12,17,22.14679
2012,12,18,21.1788
2012,12,19,21.36772
2012,12,20,22.0525
2012,12,21,20.36867
2012,12,26,20.86966
2012,12,28,22.28053
2013,1,2,20.67481
2013,1,3,18.50791
2013,1,4,21.24009
2013,1,7,18.85158
2013,1,8,20.86887
2013,1,9,20.04319
2013,1,10,19.76428
2013,1,11,20.56864
2013,1,14,19.73062
2013,1,15,18.80244
2013,1,16,20.47401
2013,1,17,18.27169
2013,1,18,17.81884
2013,1,21,20.38176
2013,1,22,20.41285
2013,1,23,16.90357
2013,1,24,19.77132
2013,1,28,20.61634
2013,1,29,18.8055
2013,1,30,18.62108
2013,1,31,16.27306
2013,2,1,20.52252
2013,2,4,21.5628
2013,2,5,21.04483
2013,2,6,20.41759
2013,2,7,19.91348
2013,2,8,19.86341
