data_mes_ano,custo_capital_1ano_1,custo_capital_5anos_1,custo_capital_10anos_1,custo_capital_20anos_1
"4/2015",10.94,10.25,10.14,10.02
"5/2015",11.51,10.32,10.1,9.86
"6/2015",11.79,10.32,10.04,9.87
"7/2015",11.83,10.42,10.3,10.22
"8/2015",12.33,10.88,10.87,10.76
"9/2015",13.24,11.38,11.34,11.3
"10/2015",12.74,11.15,11.23,11.2
"11/2015",12.35,10.94,10.97,10.83
"12/2015",12.55,11.24,11.18,11.18
"1/2016",12,10.77,11.17,11.28
"2/2016",11.2,10.49,11.06,11.22
"3/2016",10.93,10.08,10.46,10.52
"4/2016",10.92,10.11,10.22,10.18
"5/2016",10.95,9.87,9.86,9.89
"6/2016",10.95,9.94,9.95,9.96
"7/2016",11.26,10.03,9.97,9.85
"8/2016",11.51,9.83,9.73,9.62
"9/2016",11.41,9.89,9.8,9.77
"10/2016",11.22,9.71,9.65,9.53
"11/2016",11.35,10.04,10,9.86
"12/2016",10.93,9.93,9.94,9.87
"1/2017",10.23,9.5,9.55,9.43
"2/2017",9.76,9.29,9.31,9.18
"3/2017",9.21,8.93,9.14,9.02
"4/2017",8.81,8.72,9.11,9.11
"5/2017",8.45,9,9.35,9.27
"6/2017",8.51,9.27,9.5,9.45
"7/2017",7.9,8.95,9.25,9.27
"8/2017",7.18,8.43,8.91,9.01
"9/2017",7.14,8.21,8.73,8.85
"10/2017",6.94,8.07,8.7,8.87
"11/2017",6.87,8.41,8.93,9.12
"12/2017",6.88,8.66,9.01,9.24
"1/2018",6.82,8.38,8.67,9.03
"2/2018",6.66,8.34,8.6,8.9
"3/2018",6.45,8.13,8.58,8.87
"4/2018",6.22,8,8.6,9
"5/2018",6.43,8.38,8.92,9.21
"6/2018",7.13,9.11,9.52,9.64
"7/2018",7.43,9.06,9.5,9.55
"8/2018",7.97,9.11,9.38,9.53
"9/2018",8.01,9.45,9.61,9.72
"10/2018",7.18,8.73,9,9.22
"11/2018",7.19,8.51,8.72,8.96
"12/2018",6.88,8.39,8.62,8.89
"1/2019",6.5,7.98,8.21,8.49
"2/2019",6.38,7.88,8.02,8.32
"3/2019",6.37,7.8,7.98,8.25
"4/2019",6.58,7.88,8.12,8.32
"5/2019",6.69,7.73,7.93,8.14
"6/2019",6.34,7.16,7.42,7.72
"7/2019",5.79,6.69,7.12,7.46
"8/2019",5.63,6.69,7.09,7.43
"9/2019",5.54,6.63,7.07,7.42
"10/2019",5.03,6.18,6.75,7.12
"11/2019",4.8,6.04,6.65,7.03
"12/2019",4.5,6.18,6.81,7.2
"1/2020",4.6,6.24,6.9,7.24
"2/2020",4.69,6.13,6.75,7.18
"3/2020",4.4,6.91,7.52,8.02
"4/2020",4.14,6.75,7.65,8.22
"5/2020",3.89,6.6,7.68,8.17
"6/2020",3.26,5.98,7.18,7.9
"7/2020",3,5.64,6.78,7.57
"8/2020",3.17,5.62,6.78,7.49
"9/2020",3.21,5.86,7.02,7.72
"10/2020",3.3,6.27,7.29,7.92
"11/2020",3.18,6.37,7.29,7.92
"12/2020",2.62,6.03,6.89,7.63
"1/2021",3.25,6.24,7,7.61
