ano,mes,dia,semana_aluguel_100
2017,7,14,.0124631
2017,7,21,.0132657
2017,7,28,.014167
2017,8,4,.0131718
2017,8,11,.0132711
2017,8,18,.0121169
2017,8,25,.0117932
2017,9,1,.008204
2017,9,8,.0099691
2017,9,15,.0103803
2017,9,22,.0107211
2017,9,29,.0097426
2017,10,6,.0097169
2017,10,13,.0087653
2017,10,20,.007867
2017,10,27,.0077295
2017,11,3,.007509
2017,11,10,.0080693
2017,11,17,.0090196
2017,11,24,.0103923
2017,12,1,.011897
2017,12,8,.008646
2017,12,15,.0083661
2017,12,22,.0076291
2017,12,28,.0071175
2018,1,5,.0067321
2018,1,12,.0058606
2018,1,19,.0054457
2018,1,26,.0046827
2018,2,2,.0060525
2018,2,9,.006683
2018,2,16,.0061974
2018,2,23,.0057584
2018,3,2,.0056338
2018,3,9,.0054998
2018,3,16,.0053218
2018,3,23,.0058896
2018,3,29,.0058034
2018,4,6,.0053291
2018,4,13,.0051029
2018,4,20,.00484
2018,4,27,.0047938
2018,5,4,.0047317
2018,5,11,.0045945
2018,5,18,.0045719
2018,5,25,.0069446
2018,6,1,.0083327
2018,6,8,.0092018
2018,6,15,.011855
2018,6,22,.0136301
2018,6,29,.0132961
2018,7,6,.0125631
2018,7,13,.0109571
2018,7,20,.0111038
2018,7,27,.0105034
2018,8,3,.0100704
2018,8,10,.0099849
2018,8,17,.009339
2018,8,24,.0085867
2018,8,31,.0077921
2018,9,6,.0075182
2018,9,14,.0079635
2018,9,21,.0066829
2018,9,28,.0056823
2018,10,5,.004921
2018,10,11,.0055037
2018,10,19,.006002
2018,10,26,.0054426
2018,11,1,.0065149
2018,11,9,.0069261
2018,11,16,.0067792
2018,11,23,.0063644
2018,11,30,.0061632
2018,12,7,.0055598
2018,12,14,.0056463
2018,12,21,.0056556
2018,12,28,.0061411
2019,1,4,.0058825
2019,1,11,.0051479
2019,1,18,.0040049
2019,1,24,.0043038
2019,2,1,.0044025
2019,2,8,.0040837
2019,2,15,.011447
2019,2,22,.0052806
2019,3,1,.0059273
