date,average_short_interest
2012-11-07,32.501255248092974
2012-11-08,32.37419413069179
2012-11-09,30.765556703889242
2012-11-12,30.906294759680648
2012-11-13,30.897397046996794
2012-11-14,30.743205324163032
2012-11-16,31.259898032227316
2012-11-19,30.821608774661026
2012-11-21,31.012534084818352
2012-11-22,30.855585081081326
2012-11-23,30.339777107421675
2012-11-26,29.868958286226697
2012-11-27,29.89441757830348
2012-11-28,29.98653923251021
2012-11-29,29.529842100349395
2012-11-30,29.77262318048059
2012-12-03,30.573723767498667
2012-12-04,30.89314054437078
2012-12-05,30.757551433591257
2012-12-06,32.14099283538615
2012-12-07,30.57452082149772
2012-12-10,30.698840532597508
2012-12-11,30.736028384860603
2012-12-12,30.633878058118416
2012-12-13,31.186740145795028
2012-12-14,31.59798591645955
2012-12-17,31.47023407544787
2012-12-18,31.818820887887114
2012-12-19,32.36096047616136
2012-12-20,32.84395029146171
2012-12-21,33.19520928557714
2012-12-26,36.93610700533997
2012-12-27,38.15750801443125
2012-12-28,39.00266881532867
2013-01-02,32.35122043276993
2013-01-03,32.52523104155685
2013-01-04,33.531004061890314
2013-01-07,34.54905069496981
2013-01-08,33.283814400320466
2013-01-09,33.385224751246135
2013-01-10,33.74514436974889
2013-01-11,34.19744992513663
2013-01-14,34.145584948646125
2013-01-15,34.82010576271791
2013-01-16,35.07800845187739
2013-01-17,34.97426329971526
2013-01-18,35.270434189347995
2013-01-21,35.36638346756983
2013-01-22,36.11728045246149
2013-01-23,35.86430628419
2013-01-24,35.93508641292477
2013-01-28,35.59271614990145
2013-01-29,35.51762062307446
2013-01-30,35.66282619996881
2013-01-31,36.090230208523174
2013-02-01,36.62428668199406
2013-02-04,37.264837995218905
2013-02-05,37.575602901325816
2013-02-06,39.38846462877477
2013-02-07,37.832549892181845
2013-02-08,38.19902062317997
2013-02-15,38.80476577892241
2013-02-19,38.889955502023426
2013-02-20,39.13596623440041
2013-02-21,39.3359537865945
2013-02-22,39.6834639294857
2013-02-25,40.02385350414849
2013-02-26,40.74010775119085
2013-02-27,41.00757140237281
2013-02-28,41.28161316652587
2013-03-01,42.1580435612098
2013-03-04,41.76312706371658
2013-03-05,42.16580291208883
2013-03-06,45.6816675870903
2013-03-07,44.28939973856327
2013-03-08,46.77539078128584
2013-03-11,41.95512620174227
2013-03-12,42.339648333683506
2013-03-13,42.45514272773931
2013-03-14,43.477793040754705
2013-03-15,43.8773545712445
2013-03-18,43.9999302627943
2013-03-19,44.09835975595476
2013-03-20,45.253576205135815
2013-03-21,43.73807704835141
2013-03-22,43.8933401498233
2013-03-25,43.833259245053426
2013-03-26,42.84647468430639
2013-03-27,42.77280914278691
2013-03-28,43.251155489036194
2013-04-01,43.46338051669047
2013-04-02,43.95053058227275
2013-04-03,44.403152296862054
2013-04-04,46.82341560527836
2013-04-05,44.562188925885216
2013-04-08,44.396437183334875
2013-04-09,44.58416958706168
2013-04-10,44.181168868315986
2013-04-11,43.96130273488808
2013-04-12,44.307940723077415
2013-04-15,43.98785779966431
2013-04-16,44.025645717115
2013-04-17,47.99038147498489
2013-04-18,52.892331617245304
2013-04-19,55.08269970561562
2013-04-22,44.12117832706124
2013-04-23,42.35661877538953
2013-04-24,42.70478338542266
2013-04-25,43.43650332953764
2013-04-26,43.5379316550283
2013-04-29,43.94360211449954
2013-04-30,43.70029505634503
2013-05-02,46.23897005574599
2013-05-03,46.564734396340384
2013-05-06,43.5043096556378
2013-05-07,43.71008662393343
2013-05-08,44.19324718878386
2013-05-09,44.28192269433888
2013-05-10,43.55347224718027
2013-05-13,42.76523230704872
