date,average_days_to_cover
2012-11-07,1.692959319375966
2012-11-08,1.9696972945796374
2012-11-09,1.6969148245669987
2012-11-12,1.8097867883090044
2012-11-13,0.864902733095631
2012-11-14,0.9028025628897933
2012-11-16,0.9629875747148592
2012-11-19,0.9658497048666872
2012-11-21,0.8583720865436434
2012-11-22,0.9755214178323002
2012-11-23,0.9005207984081413
2012-11-26,0.94716517390516
2012-11-27,0.9309566685590984
2012-11-28,0.9110153627462715
2012-11-29,0.919707634947642
2012-11-30,0.9411413145333014
2012-12-03,0.9686523318047435
2012-12-04,0.9183422910634736
2012-12-05,0.9623053029329679
2012-12-06,1.137689152685636
2012-12-07,0.6670845139616834
2012-12-10,0.8539527733102438
2012-12-11,0.6442940619870658
2012-12-12,0.615797508212934
2012-12-13,0.5855383798752902
2012-12-14,0.5882259974407643
2012-12-17,0.5932092300056799
2012-12-18,0.5918796477300514
2012-12-19,0.5727215900883939
2012-12-20,0.6102726546161444
2012-12-21,0.6493960709641353
2012-12-26,0.650241203551894
2012-12-27,0.6690761977448265
2012-12-28,0.7033334284068665
2013-01-02,0.6447476156608776
2013-01-03,0.6038855316715857
2013-01-04,0.5896743954751588
2013-01-07,0.5899185925711445
2013-01-08,0.5976052791367515
2013-01-09,0.6792665951714668
2013-01-10,0.5609330855394136
2013-01-11,0.5668549985760167
2013-01-14,0.5608307293887793
2013-01-15,0.5696340143832962
2013-01-16,0.5710487503719772
2013-01-17,0.5843307632131826
2013-01-18,0.5897076150977462
2013-01-21,0.5988675219816706
2013-01-22,0.5825279797487403
2013-01-23,0.5894476948940391
2013-01-24,0.5816441442294586
2013-01-28,0.5812304324210658
2013-01-29,0.5810766265136724
2013-01-30,0.574210766340541
2013-01-31,0.5463629562265048
2013-02-01,0.566553573484816
2013-02-04,0.5600742676882665
2013-02-05,0.5636761157070884
2013-02-06,0.5746820943938141
2013-02-07,0.5526172413396148
2013-02-08,0.5365775149024985
2013-02-15,0.5315145506585501
2013-02-19,0.5454859180322844
2013-02-20,0.5459382634869491
2013-02-21,0.5470409420172956
