ano,mes,dia,semana_aluguel_100
2018,3,9,.0055021
2018,3,16,.0053235
2018,3,23,.0058904
2018,3,29,.0058017
2018,4,6,.0053254
2018,4,13,.0050994
2018,4,20,.0048401
2018,4,27,.004793
2018,5,4,.0047329
2018,5,11,.0045915
2018,5,18,.0045675
2018,5,25,.0069358
2018,6,1,.0083222
2018,6,8,.009204
2018,6,15,.0118934
2018,6,22,.013771
2018,6,29,.0136291
2018,7,6,.0130184
2018,7,13,.0113676
2018,7,20,.0114313
2018,7,27,.010758
2018,8,3,.0102117
2018,8,10,.010059
2018,8,17,.0093763
2018,8,24,.0086241
2018,8,31,.0078149
2018,9,6,.007563
2018,9,14,.0079879
2018,9,21,.0067038
2018,9,28,.0057088
2018,10,5,.0049362
2018,10,11,.0055043
2018,10,19,.0060074
2018,10,26,.0054606
2018,11,1,.0065215
2018,11,9,.0069267
2018,11,16,.0067772
2018,11,23,.0063613
2018,11,30,.0061675
2018,12,7,.0055627
2018,12,14,.0056435
2018,12,21,.0056496
2018,12,28,.0061335
2019,1,4,.0058762
2019,1,11,.00516
2019,1,18,.0044361
2019,1,24,.0046175
2019,2,1,.00471
2019,2,8,.0043608
2019,2,15,.0116956
2019,2,22,.0054938
2019,3,1,.0060584
2019,3,8,.0065107
2019,3,15,.0060424
2019,3,22,.0064033
2019,3,29,.006378
2019,4,5,.0063352
2019,4,12,.0072688
2019,4,18,.0059274
2019,4,26,.00689
2019,5,3,.0052835
2019,5,10,.0117036
2019,5,17,.0060783
2019,5,24,.0071784
2019,5,31,.0075666
2019,6,7,.0079963
2019,6,14,.007978
2019,6,21,.0074664
2019,6,28,.0084041
2019,7,5,.0075971
2019,7,12,.0067989
2019,7,19,.00993
2019,7,26,.0106694
2019,8,2,.0087338
2019,8,9,.0078178
2019,8,16,.007582
2019,8,23,.0069589
2019,8,30,.0063166
2019,9,6,.0058725
2019,9,13,.0060384
2019,9,20,.0058108
2019,9,27,.0072381
2019,10,4,.0058207
2019,10,11,.0059532
2019,10,18,.0057219
2019,10,25,.0050246
2019,11,1,.0058
2019,11,8,.0094047
2019,11,15,.0056261
2019,11,22,.0052377
2019,11,29,.0066772
2019,12,6,.0066114
2019,12,13,.0066689
2019,12,20,.00694
2019,12,27,.0044289
2019,12,31,.0032603
2020,1,3,.0050024
2020,1,10,.0085411
2020,1,17,.0063922
2020,1,24,.0064775
2020,1,31,.0076891
2020,2,7,.0092783
2020,2,14,.0083408
2020,2,21,.0074514
2020,2,28,.0041389
2020,3,6,.0059812
2020,3,13,.0095047
2020,3,20,.0156777
2020,3,27,.0172608
2020,4,3,.0157474
2020,4,10,.0111367
2020,4,17,.0121182
2020,4,24,.0091176
2020,5,1,.0082738
2020,5,8,.0095762
2020,5,15,.0085921
