ano,mes,dia,IML
2001,11,27,-.0067643
2001,11,28,.0177246
2001,11,29,-.0172923
2001,11,30,.0161741
2001,12,3,-.0064787
2001,12,4,.0053121
2001,12,5,.0156015
2001,12,6,.0085902
2001,12,7,-.0186173
2001,12,10,.0223843
2001,12,11,-.0004792
2001,12,12,.0108368
2001,12,13,.0094157
2001,12,14,-.0183391
2001,12,17,.0071114
2001,12,18,-.0043106
2001,12,19,-.0095273
2001,12,20,-.0042916
2001,12,21,.0100431
2001,12,26,-.0009553
2001,12,27,.000442
2001,12,28,-.0243831
2002,1,2,.0120309
2002,1,3,-.0064402
2002,1,4,.0054246
2002,1,7,-.0116923
2002,1,8,-.0031565
2002,1,9,.0247266
2002,1,10,.0193006
2002,1,11,.0039778
2002,1,14,-.0031182
2002,1,15,.0095099
2002,1,16,.0008285
2002,1,17,-.0071471
2002,1,18,-.0118126
2002,1,21,.0048953
2002,1,22,-.0057433
2002,1,23,.0028006
2002,1,24,.0036914
2002,1,28,-.0175158
2002,1,29,.0134772
2002,1,30,-.004991
2002,1,31,-.0112394
2002,2,1,.0160967
2002,2,4,.0010373
2002,2,5,-.0018783
2002,2,6,-.0033384
2002,2,7,-.000465
2002,2,8,-.0066946
2002,2,13,.0001784
2002,2,14,-.006802
2002,2,15,.0025654
2002,2,18,.0060705
2002,2,19,-.0067886
2002,2,20,.013571
2002,2,21,-.0047358
2002,2,22,-.00142
2002,2,25,.0076762
2002,2,26,-.0130496
2002,2,27,-.0012729
2002,2,28,-.0053895
2002,3,1,.0024553
2002,3,4,.0028303
2002,3,5,.0102761
2002,3,6,.0157487
2002,3,7,-.0002001
2002,3,8,.0124283
2002,3,11,.0033452
2002,3,12,-.0062699
2002,3,13,.0076966
2002,3,14,.002474
2002,3,15,.0059069
2002,3,18,-.0039453
2002,3,19,-.0015952
2002,3,20,.014505
2002,3,21,-.0090748
2002,3,22,-.0059507
2002,3,25,-.0107147
2002,3,26,.0092144
2002,3,27,.001434
2002,3,28,.0035708
2002,4,1,-.0104125
2002,4,2,.0012232
2002,4,3,.0065706
2002,4,4,-.0036571
2002,4,5,.0045926
2002,4,8,-.0042441
2002,4,9,-.0026172
2002,4,10,-.0093617
2002,4,11,-.0161136
2002,4,12,.0161174
2002,4,15,-.0104861
2002,4,16,.0153933
2002,4,17,-.0062607
2002,4,18,-.0073035
2002,4,19,-.001108
2002,4,22,-.0045145
2002,4,23,.0160463
2002,4,24,.0023514
2002,4,25,.0020226
2002,4,26,-.011395
2002,4,29,.0018482
2002,4,30,.0057578
2002,5,2,-.0091268
2002,5,3,.0072172
2002,5,6,.0066463
2002,5,7,-.0049526
2002,5,8,.0022528
2002,5,9,.0147018
2002,5,10,.0033802
2002,5,13,.0062972
2002,5,14,.0116596
2002,5,15,-.005797
2002,5,16,-.0051372
2002,5,17,-.0042728
2002,5,20,-.0043773
2002,5,21,.0089849
2002,5,22,.0066877
2002,5,23,-.006195
2002,5,24,.0071915
2002,5,27,-.0040751
2002,5,28,.00047
2002,5,29,-.0020115
2002,5,31,.0010966
2002,6,3,.0023363
2002,6,4,.0034575
2002,6,5,.0144748
2002,6,6,.0078692
2002,6,7,-.0043918
2002,6,10,-.0158399
2002,6,11,.0237905
2002,6,12,.0246513
2002,6,13,-.0059456
2002,6,14,.0132046
2002,6,17,.0026338
2002,6,18,-.0181734
2002,6,19,.0099582
2002,6,20,.0099321
2002,6,21,.0197609
2002,6,24,-.0066401
2002,6,25,-.0008411
2002,6,26,.0170885
2002,6,27,.0052987
2002,6,28,.0356952
2002,7,1,-.0038923
2002,7,2,.0150531
2002,7,3,-.012596
2002,7,4,.0014636
2002,7,5,.004812
2002,7,8,-.0148498
2002,7,10,.0112572
2002,7,11,.0192084
2002,7,12,-.0141662
2002,7,15,.0024812
2002,7,16,-.0127547
2002,7,17,.0104288
2002,7,18,-.0027069
2002,7,19,-.001691
2002,7,22,-.0006574
2002,7,23,.0047981
2002,7,24,.0157515
2002,7,25,.0143261
2002,7,26,.0167314
2002,7,29,.0169843
2002,7,30,-.0009805
2002,7,31,-.0197978
2002,8,1,-.0065125
2002,8,2,-.0130686
2002,8,5,-.0064196
2002,8,6,-.0005839
2002,8,7,.0000144
2002,8,8,-.0060471
2002,8,9,-.0083471
2002,8,12,.0003775
2002,8,13,.0089031
2002,8,14,-.0100592
2002,8,15,.0121119
2002,8,16,.009892
2002,8,19,-.0074224
2002,8,20,.0155438
2002,8,21,.0094364
2002,8,22,-.0008768
2002,8,23,-.0016239
2002,8,26,-.0104705
2002,8,27,-.0269645
2002,8,28,.0110477
2002,8,29,.0100473
2002,8,30,-.0204966
2002,9,2,-.0066665
2002,9,3,-.0099142
2002,9,4,-.0001053
2002,9,5,.0112778
2002,9,6,-.0039235
2002,9,9,-.002422
2002,9,10,-.0059938
2002,9,11,-.0033988
2002,9,12,.0058364
2002,9,13,-.0029994
2002,9,16,.0045887
2002,9,17,-.0014462
2002,9,18,.0327477
2002,9,19,-.0074643
2002,9,20,-.0014782
2002,9,23,.0137009
2002,9,24,.0144086
2002,9,25,.0012799
2002,9,26,-.0026415
2002,9,27,.00466
2002,9,30,-.0090113
2002,10,1,-.0365503
2002,10,2,-.0136229
2002,10,3,-.0142545
2002,10,4,.0151443
2002,10,7,.0160828
2002,10,8,.0038189
2002,10,9,.0182984
2002,10,10,-.0056969
2002,10,11,.0052153
2002,10,14,.0104292
2002,10,15,.0091284
2002,10,16,-.0078314
2002,10,17,-.0218402
2002,10,18,.0043633
2002,10,21,-.0019434
2002,10,22,-.0071183
2002,10,23,-.0192312
2002,10,24,-.0090102
2002,10,25,-.0119858
2002,10,28,-.0102406
2002,10,29,-.0030833
2002,10,30,-.012352
2002,10,31,-.0106004
2002,11,1,.0194671
2002,11,4,.0179182
2002,11,5,.0158492
2002,11,6,-.0084238
2002,11,7,.0117624
2002,11,8,.0063572
2002,11,11,-.0112538
2002,11,12,.0193813
2002,11,13,-.0014078
2002,11,14,-.0082034
2002,11,18,-.0114571
2002,11,19,.010571
2002,11,20,.0015063
2002,11,21,-.0199866
2002,11,22,-.0002331
2002,11,25,-.002644
2002,11,26,-.0048359
2002,11,27,.0236756
2002,11,28,.0090332
2002,11,29,-.0034751
2002,12,2,-.0056098
2002,12,3,-.0119495
2002,12,4,.0173041
2002,12,5,.0002979
2002,12,6,.0060216
2002,12,9,.0003928
2002,12,10,-.0021112
2002,12,11,.0006517
2002,12,12,.0007754
2002,12,13,.0115427
2002,12,16,.0092446
2002,12,17,-.0197128
2002,12,18,.0143441
2002,12,19,-.0324038
2002,12,20,-.0094799
2002,12,23,.0226729
2002,12,26,.0172914
2002,12,27,.0035213
2002,12,30,-.0139143
2003,1,2,.0022626
2003,1,3,-.0019662
2003,1,6,.0161185
2003,1,7,.0197447
2003,1,8,.0029185
2003,1,9,.0047225
2003,1,10,-.004334
2003,1,13,-.0079256
2003,1,14,.0056033
2003,1,15,.0072356
2003,1,16,.0105155
2003,1,17,.0096341
2003,1,20,-.0067372
2003,1,21,-.0125751
2003,1,22,.0174248
2003,1,23,-.0042171
2003,1,24,-.0192538
