ano,mes,dia,SMB
2001,11,28,.0091649
2001,11,29,-.0132568
2001,11,30,.0046326
2001,12,3,.0181835
2001,12,4,-.0061642
2001,12,5,.0171725
2001,12,6,.0042381
2001,12,7,-.0135216
2001,12,10,.0260257
2001,12,11,-.0073769
2001,12,12,.0321836
2001,12,13,-.0151192
2001,12,14,-.0201596
2001,12,17,-.0089727
2001,12,18,.0094188
2001,12,19,-.0144303
2001,12,20,-.0115902
2001,12,21,.0119849
2001,12,26,.0043308
2001,12,27,-.0022711
2001,12,28,-.0317869
2002,1,2,.0072051
2002,1,3,-.0048589
2002,1,4,.0042144
2002,1,7,-.0141814
2002,1,8,-.0107175
2002,1,9,.0171775
2002,1,10,.015655
2002,1,11,.0092623
2002,1,14,.0008139
2002,1,15,.0192508
2002,1,16,-.0004519
2002,1,17,-.0022828
2002,1,18,.0079445
2002,1,21,.0024704
2002,1,22,-.0055451
2002,1,23,.0081464
2002,1,24,.0014634
2002,1,28,-.028473
2002,1,29,.0129361
2002,1,30,.0064385
2002,1,31,-.0092051
2002,2,1,.0039096
2002,2,4,-.0102511
2002,2,5,-.0005947
2002,2,6,-.0000915
2002,2,7,-.0048417
2002,2,8,-.0032141
2002,2,13,.0031642
2002,2,14,-.0088171
2002,2,15,-.0159899
2002,2,18,.0070489
2002,2,19,-.0084398
2002,2,20,.0234423
2002,2,21,-.0050661
2002,2,22,-.0085636
2002,2,25,.0105915
2002,2,26,-.0098571
2002,2,27,-.0070649
2002,2,28,-.0101226
2002,3,1,.0140153
2002,3,4,.0029693
2002,3,5,.0088051
2002,3,6,.0090486
2002,3,7,-.0101809
2002,3,8,.0113946
2002,3,11,-.0106115
2002,3,12,.0105054
2002,3,13,.0068017
2002,3,14,.0095096
2002,3,15,-.00415
2002,3,18,-.000264
2002,3,19,-.0133249
2002,3,20,.0113302
2002,3,21,-.0081009
2002,3,22,-.0125947
2002,3,25,-.0096279
2002,3,26,.0165296
2002,3,27,-.0058184
2002,3,28,-.0044774
2002,4,1,-.0119301
2002,4,2,-.0006108
2002,4,3,.0049682
2002,4,4,.0034835
2002,4,5,.0044856
2002,4,8,-.0121695
2002,4,9,-.0115641
2002,4,10,-.0168855
2002,4,11,-.0041823
2002,4,12,.0063217
2002,4,15,-.0203577
2002,4,16,.0177507
2002,4,17,.0051773
2002,4,18,-.0067302
2002,4,19,.0050669
2002,4,22,.0011448
2002,4,23,-.0017866
2002,4,24,-.0096148
2002,4,25,.0146962
2002,4,26,-.0131653
2002,4,29,.0035579
2002,4,30,.0001219
2002,5,2,-.0203102
2002,5,3,.0097848
2002,5,6,.0153025
2002,5,7,-.0163276
2002,5,8,-.0070065
2002,5,9,-.0144377
2002,5,10,.0248663
2002,5,13,-.0009197
2002,5,14,.0052798
2002,5,15,-.0034295
2002,5,16,-.0083585
2002,5,17,-.0120287
2002,5,20,.0011748
2002,5,21,.0066995
2002,5,22,-.0086571
2002,5,23,.0009731
2002,5,24,-.0031235
2002,5,27,.0062682
2002,5,28,-.0055552
2002,5,29,.0097899
2002,5,31,-.006608
2002,6,3,-.0039496
2002,6,4,-.0017927
2002,6,5,.0159699
2002,6,6,.0046998
2002,6,7,.0120767
2002,6,10,-.0178834
2002,6,11,-.0074903
2002,6,12,.0274685
2002,6,13,-.0020393
2002,6,14,.0078669
2002,6,17,.0166163
2002,6,18,-.0105024
2002,6,19,.0130422
2002,6,20,.0034288
2002,6,21,.0024537
2002,6,24,.0076317
2002,6,25,-.0318112
2002,6,26,.0034154
2002,6,27,-.0071001
2002,6,28,.0154022
2002,7,1,-.0183851
2002,7,2,.022798
2002,7,3,-.0109224
2002,7,4,-.0066188
2002,7,5,.0108787
2002,7,8,-.0150739
2002,7,10,.0017474
2002,7,11,.0171166
2002,7,12,-.013625
2002,7,15,-.0119689
2002,7,16,-.0117516
2002,7,17,.0031956
2002,7,18,.0003648
2002,7,19,-.0061066
2002,7,22,-.0156878
2002,7,23,.0258957
2002,7,24,.0170298
2002,7,25,.0207505
2002,7,26,.0171693
2002,7,29,.0130379
2002,7,30,.0108134
2002,7,31,-.0285148
2002,8,1,-.0079209
2002,8,2,-.0145301
2002,8,5,-.0080771
2002,8,6,-.0094182
2002,8,7,-.0042782
2002,8,8,-.0116345
2002,8,9,-.0076449
2002,8,12,.0082447
2002,8,13,.0143011
2002,8,14,-.0194545
2002,8,15,.0038818
2002,8,16,.0090162
2002,8,19,-.0163766
2002,8,20,.0134326
2002,8,21,-.0085178
2002,8,22,-.0051439
2002,8,23,-.0061058
2002,8,26,-.0096202
2002,8,27,-.0293876
2002,8,28,.0196309
2002,8,29,.0185785
2002,8,30,-.0082656
2002,9,2,.004051
2002,9,3,-.0171982
2002,9,4,.0001207
2002,9,5,.0069516
2002,9,6,-.014612
2002,9,9,-.0005424
2002,9,10,-.0021724
2002,9,11,-.0021708
2002,9,12,.0129421
2002,9,13,.0052417
2002,9,16,-.0082483
2002,9,17,-.0028927
2002,9,18,.018187
2002,9,19,-.0129697
2002,9,20,.0019731
2002,9,23,-.0012698
2002,9,24,.01371
2002,9,25,.0136702
2002,9,26,-.0050473
2002,9,27,-.0004299
2002,9,30,-.0019615
2002,10,1,-.0243654
2002,10,2,-.0222784
2002,10,3,-.013397
2002,10,4,.029311
2002,10,7,.0039623
2002,10,8,.0036236
2002,10,9,.0104052
2002,10,10,-.0028847
2002,10,11,.0133074
2002,10,14,-.0021068
2002,10,15,.0095756
2002,10,16,-.0263691
2002,10,17,-.006536
2002,10,18,.0099819
2002,10,21,-.0016784
2002,10,22,.002283
2002,10,23,-.0281719
2002,10,24,-.0268602
2002,10,25,-.0079401
2002,10,28,-.0135936
2002,10,29,.014222
2002,10,30,-.0055983
2002,10,31,-.0072767
2002,11,1,.0222154
2002,11,4,.0097216
2002,11,5,.0217636
2002,11,6,-.0081429
2002,11,7,.003996
2002,11,8,.0171162
2002,11,11,-.0107959
2002,11,12,-.0215381
2002,11,13,.0096145
2002,11,14,.0040869
2002,11,18,-.0162476
2002,11,19,.0176923
2002,11,20,.0003547
2002,11,21,-.0153834
2002,11,22,.003309
2002,11,25,-.0031028
2002,11,26,-.0139041
2002,11,27,.0171549
2002,11,28,.0048188
2002,11,29,-.0042383
2002,12,2,-.0017513
2002,12,3,-.0045973
2002,12,4,.003875
2002,12,5,-.0070239
2002,12,6,.0080936
2002,12,9,-.0024614
